iter	Logloss
0	0.4153664913
1	0.3565331838
2	0.3404225712
3	0.3276116182
4	0.3223253017
5	0.318266998
6	0.3138093866
7	0.3117661665
8	0.3099823639
9	0.3066584352
10	0.3054040648
11	0.3044430886
12	0.3024917234
13	0.3017363668
14	0.3009402847
15	0.3001177676
16	0.2998219562
17	0.2993765857
18	0.2982926013
19	0.2977568263
20	0.2974216236
21	0.2969314086
22	0.2963657178
23	0.295990099
24	0.2955147355
25	0.2952295405
26	0.2948207186
27	0.2945499884
28	0.2941688583
29	0.2937922339
30	0.2931134166
31	0.2926815053
32	0.2923465733
33	0.2918488939
34	0.2914044322
35	0.2909523128
36	0.2906544322
37	0.2903434019
38	0.2898550433
39	0.2895595993
40	0.2892424582
41	0.2889984723
42	0.2886207843
43	0.288272548
44	0.2880161084
45	0.2876254448
46	0.2873154394
47	0.2869775874
48	0.2867516437
49	0.2864642636
50	0.2861998956
51	0.2859694848
52	0.285578299
53	0.2854015896
54	0.2852001276
55	0.2847920212
56	0.2844053411
57	0.2842512763
58	0.2838980314
59	0.2836621674
60	0.2834690594
61	0.2831103226
62	0.2828073561
63	0.2825502205
64	0.2822947285
65	0.2820116027
66	0.2817975131
67	0.2816435644
68	0.2813850944
69	0.2811945196
70	0.2809183748
71	0.2806292543
72	0.2802443147
73	0.2800174428
74	0.2798258625
75	0.2796012338
76	0.2793982828
77	0.2791871132
78	0.2790262995
79	0.2788270808
80	0.278575321
81	0.2782648515
82	0.2780370127
83	0.2778829479
84	0.2776326385
85	0.2774596419
86	0.2773484684
87	0.2771954479
88	0.277014252
89	0.2765999575
90	0.2763868928
91	0.2762511023
92	0.275975963
93	0.2757772084
94	0.2756033609
95	0.2753845722
96	0.2751727259
97	0.2749295521
98	0.274779819
99	0.2746413212
100	0.274494334
101	0.2743841081
102	0.2741138034
103	0.2738982054
104	0.2737830097
105	0.2736049853
106	0.273282565
107	0.2731510675
108	0.2729090153
109	0.2727295599
110	0.2726605623
111	0.2723884592
112	0.2721979038
113	0.2719851872
114	0.2718428024
115	0.2716466004
116	0.2714580755
117	0.2713184947
118	0.2711199528
119	0.2710177135
120	0.2707528233
121	0.270663405
122	0.2704984723
123	0.2703631652
124	0.270210222
125	0.2700930538
126	0.2699465695
127	0.2698172378
128	0.2696281327
129	0.2694329749
130	0.269293955
131	0.2690971341
132	0.2689808748
133	0.2688008779
134	0.2686909421
135	0.2685321782
136	0.2684046836
137	0.2682037631
138	0.2680139039
139	0.2678706683
140	0.2677674428
141	0.2676073445
142	0.2675175394
143	0.2673800085
144	0.2672258083
145	0.2671602143
146	0.2670516321
147	0.2668941832
148	0.2667514697
149	0.266625116
150	0.2662909576
151	0.2661419206
152	0.2660084893
153	0.2658165223
154	0.2656411665
155	0.2653917079
156	0.2652422262
157	0.2650521929
158	0.2649241569
159	0.2647497873
160	0.2646392713
161	0.2644827119
162	0.2641644879
163	0.2640473004
164	0.2639141592
165	0.2638016321
166	0.2636442992
167	0.2635044284
168	0.263398979
169	0.2631806157
170	0.263078299
171	0.2629443456
172	0.2628464186
173	0.2626527885
174	0.2624770266
175	0.2622655863
176	0.2621559406
177	0.26197722
178	0.2617784073
179	0.2616565207
180	0.2615066522
181	0.261375174
182	0.2611736541
183	0.2610012376
184	0.2608858099
185	0.2607601137
186	0.2606109027
187	0.2605031327
188	0.2603584081
189	0.2601273399
190	0.2600319655
191	0.259843866
192	0.2597128326
193	0.2594335938
194	0.259281424
195	0.2591355391
196	0.2590035775
197	0.2587802638
198	0.2585746442
199	0.2584149327
200	0.2581828009
201	0.2580594253
202	0.258001257
203	0.2578560876
204	0.2577066638
205	0.2576254254
206	0.2575251779
207	0.257350789
208	0.2572029703
209	0.2569960164
210	0.2568808207
211	0.2567723546
212	0.2566920251
213	0.2565094756
214	0.2563324954
215	0.2561830136
216	0.2560688815
217	0.2559153388
218	0.255774153
219	0.255682008
220	0.2555573368
221	0.2554430306
222	0.2552428063
223	0.2551471805
224	0.2549070429
225	0.2546557085
226	0.2545223352
227	0.2544187423
228	0.2541622061
229	0.2540431235
230	0.2538988436
231	0.2537302367
232	0.2536017946
233	0.253502862
234	0.2534108718
235	0.2532573484
236	0.2531256962
237	0.2530347502
238	0.252951694
239	0.2527591662
240	0.2526341855
241	0.2525492729
242	0.2524437075
243	0.2522680229
244	0.2522150758
245	0.2521056815
246	0.251957592
247	0.2518344872
248	0.2516700186
249	0.2515720142
250	0.2514030399
251	0.2511995088
252	0.2509757503
253	0.2508019028
254	0.2506445699
255	0.2505445931
256	0.2503756188
257	0.250279703
258	0.2502334274
259	0.2501409731
260	0.2499999033
261	0.2497669013
262	0.2496384592
263	0.2494117226
264	0.249295444
265	0.2491512222
266	0.2489974667
267	0.2488317799
268	0.2488044168
269	0.2486552444
270	0.248517172
271	0.2484471883
272	0.2482980739
273	0.2481037864
274	0.2479413869
275	0.2478105469
276	0.2476985613
277	0.2474235767
278	0.2472151918
279	0.2471232209
280	0.2470485574
281	0.2469153388
282	0.2467773631
283	0.2466655128
284	0.2465124923
285	0.2463668974
286	0.2462243386
287	0.2461472192
288	0.246009901
289	0.2458487198
290	0.2456962794
291	0.2455260675
292	0.2454284305
293	0.2452174737
294	0.2450940787
295	0.2449442102
296	0.2448412941
297	0.2447562848
298	0.2446425975
299	0.2444748608
300	0.2443463993
301	0.2441047146
302	0.2438762763
303	0.2437230817
304	0.2436028388
305	0.2434670869
306	0.2433696627
307	0.243223217
308	0.2431256575
309	0.2430185257
310	0.2428910311
311	0.2427509282
312	0.2426892017
313	0.2425318108
314	0.2424656946
315	0.242261158
316	0.2420900758
317	0.2419513846
318	0.2418532449
319	0.2417293278
320	0.2416650294
321	0.2414766785
322	0.2413328048
323	0.2411599435
324	0.2410265896
325	0.2408499381
326	0.2407766089
327	0.2406868038
328	0.2404738745
329	0.2403539991
330	0.2402301593
331	0.2400888188
332	0.2399429726
333	0.2398264039
334	0.2397014813
335	0.2396217126
336	0.2395348468
337	0.2394377514
338	0.23929848
339	0.2391032062
340	0.2390010636
341	0.2387044013
342	0.238475789
343	0.2383494353
344	0.2383169284
345	0.2382056002
346	0.2381088142
347	0.2379881265
348	0.2377703048
349	0.2376607751
350	0.237485806
351	0.2372420908
352	0.2371803256
353	0.2370921063
354	0.2369593905
355	0.2367748685
356	0.2366655902
357	0.2365831335
358	0.23642348
359	0.2362038018
360	0.2360637956
361	0.2359780128
362	0.2358205832
363	0.2357482789
364	0.2356656869
365	0.2355074451
366	0.235390741
367	0.2353103535
368	0.2351229502
369	0.2349945467
370	0.2348587949
371	0.2347645421
372	0.2346828782
373	0.2346070545
374	0.2345189318
375	0.2343367884
376	0.2341971689
377	0.2340844291
378	0.2339398205
379	0.2338207766
380	0.233673364
381	0.2335696163
382	0.2334968866
383	0.233356629
384	0.233208733
385	0.2329404394
386	0.2327750812
387	0.2327260597
388	0.232637879
389	0.232484317
390	0.232400468
391	0.2322690671
392	0.2322083269
393	0.2320663869
394	0.2318544438
395	0.2316068611
396	0.2314047416
397	0.2312941097
398	0.231161916
399	0.2311025487
400	0.2310101137
401	0.2308918626
402	0.2307974938
403	0.2307410079
404	0.2306455948
405	0.2305762492
406	0.23048014
407	0.2303829479
408	0.2302985574
409	0.2300945042
410	0.23001139
411	0.2299411355
412	0.2298972772
413	0.2298258431
414	0.2297067218
415	0.2296226988
416	0.2293824838
417	0.2292895266
418	0.2291970916
419	0.2290989325
420	0.2290412864
421	0.2289621558
422	0.2288216468
423	0.2287548925
424	0.2286485922
425	0.2285098043
426	0.2283854038
427	0.2283396504
428	0.228295386
429	0.2280759011
430	0.2279799466
431	0.2278453744
432	0.2277578125
433	0.2276576037
434	0.2274949335
435	0.2274230353
436	0.2273314898
437	0.2272259437
438	0.2271650874
439	0.227082186
440	0.2269424312
441	0.2268533996
442	0.2267631304
443	0.2266048113
444	0.2264509978
445	0.2263688506
446	0.2262875928
447	0.2261416499
448	0.2260360071
449	0.2259510558
450	0.2258159421
451	0.2257419168
452	0.2255733485
453	0.2254757116
454	0.2254257426
455	0.2253613475
456	0.2253035272
457	0.2251386525
458	0.2250585164
459	0.2249893448
460	0.2247936262
461	0.2246525371
462	0.224549505
463	0.2244267288
464	0.224396291
465	0.2242982867
466	0.2241815246
467	0.2240694616
468	0.223850847
469	0.2237636719
470	0.2236885056
471	0.2236020266
472	0.2234943727
473	0.223418839
474	0.2232412399
475	0.2231568108
476	0.2230135558
477	0.2228388382
478	0.222714399
479	0.2226274172
480	0.2225498724
481	0.2223873182
482	0.2222793549
483	0.2221513962
484	0.222056776
485	0.2219562384
486	0.2218518719
487	0.2217176671
488	0.2215073484
489	0.2213918433
490	0.2213125193
491	0.2211823755
492	0.2210475712
493	0.2209581142
494	0.2208859259
495	0.2208247795
496	0.220691619
497	0.2205850866
498	0.2205064782
499	0.220393545
500	0.2202595722
501	0.2201658416
502	0.2200881033
503	0.2199790764
504	0.2198524714
505	0.2197754293
506	0.21967027
507	0.2195603728
508	0.2194324915
509	0.2193163482
510	0.2191938622
511	0.2190220258
512	0.2189390664
513	0.2188207186
514	0.2187674814
515	0.2186575263
516	0.2186062423
517	0.2185387724
518	0.2184465114
519	0.2183965811
520	0.2183129834
521	0.2182564202
522	0.2181534847
523	0.2180492536
524	0.2179480198
525	0.2177939743
526	0.217677425
527	0.2175968054
528	0.2174494121
529	0.2173671682
530	0.2172559367
531	0.2171727645
532	0.2171128171
533	0.2168874149
534	0.2168175859
535	0.2167249575
536	0.2166456528
537	0.2165468943
538	0.2164667582
539	0.2163913405
540	0.2163500541
541	0.2163023863
542	0.2162605972
543	0.2161287515
544	0.216019976
545	0.2158902963
546	0.2157827777
547	0.2156540648
548	0.2155592126
549	0.2155276145
550	0.2153666267
551	0.2152992922
552	0.2151840385
553	0.2150132464
554	0.2148912051
555	0.2148269067
556	0.2147500193
557	0.2146370088
558	0.2145207495
559	0.2144093827
560	0.2143511371
561	0.2142624149
562	0.2141695158
563	0.2140789565
564	0.2139418123
565	0.2138523167
566	0.213732886
567	0.2136524598
568	0.2134835241
569	0.2134139271
570	0.2133459545
571	0.2132437152
572	0.2131800549
573	0.2130778349
574	0.2130103844
575	0.2128979541
576	0.2127322092
577	0.2126390006
578	0.2125066329
579	0.2123284731
580	0.2122264465
581	0.2121359259
582	0.2120898631
583	0.2120150449
584	0.2118937384
585	0.2118515625
586	0.2117036665
587	0.2116232209
588	0.2115348082
589	0.211406076
590	0.2113346999
591	0.2112407565
592	0.2111032449
593	0.2110188157
594	0.2109078937
595	0.2107838993
596	0.2106196821
597	0.210575263
598	0.2105054533
599	0.2103774946
600	0.2102622409
601	0.210153562
602	0.2100570274
603	0.2099507851
604	0.2098735303
605	0.2097711363
606	0.2096698252
607	0.2095947169
608	0.2095389465
609	0.2094357209
610	0.2093419903
611	0.2092454749
612	0.2091376856
613	0.2090499304
614	0.208860632
615	0.2087855237
616	0.2087153465
617	0.2086315362
618	0.2085628481
619	0.2085102877
620	0.2084258199
621	0.2083344098
622	0.2082989248
623	0.2081746597
624	0.2081020653
625	0.2080011796
626	0.2079645537
627	0.2078588142
628	0.207765625
629	0.2076678334
630	0.2075696163
631	0.2075457534
632	0.2074878365
633	0.2073783455
634	0.207332302
635	0.2072575611
636	0.2072003597
637	0.2071171682
638	0.2070097269
639	0.2069410195
640	0.20689194
641	0.2068219175
642	0.2067397316
643	0.2066640818
644	0.2066437384
645	0.2065625774
646	0.206460338
647	0.2063805306
648	0.2062784847
649	0.2061724358
650	0.2060870591
651	0.2059523902
652	0.2058478496
653	0.2057481436
654	0.2056439705
655	0.2056045792
656	0.2055061301
657	0.2054153001
658	0.2053482557
659	0.2052306815
660	0.2051446473
661	0.2050229734
662	0.2049455446
663	0.2048535543
664	0.2047346651
665	0.2046867458
666	0.2046245939
667	0.2045265896
668	0.2044319307
669	0.2043148786
670	0.2042572517
671	0.2041877901
672	0.2041115989
673	0.2040682047
674	0.2039320661
675	0.2038169864
676	0.2037766669
677	0.2036731126
678	0.2035388691
679	0.2034439008
680	0.2033695467
681	0.2033230585
682	0.2032798963
683	0.203158938
684	0.2030282526
685	0.2029653659
686	0.2028744779
687	0.2027331954
688	0.202660601
689	0.2025867884
690	0.2025008895
691	0.2024266515
692	0.2023334236
693	0.2022408145
694	0.2021943456
695	0.2021610265
696	0.202023979
697	0.2019171372
698	0.2018426671
699	0.2018014774
700	0.2017331761
701	0.2016650487
702	0.2016245359
703	0.2015332805
704	0.2014540726
705	0.2013814975
706	0.2012568843
707	0.201166035
708	0.2010749536
709	0.2009899636
710	0.2008325147
711	0.2007404664
712	0.2007143023
713	0.2006372022
714	0.2005486928
715	0.2003970258
716	0.2003394377
717	0.2001945777
718	0.200137647
719	0.2001081761
720	0.2000536239
721	0.200011564
722	0.1999145653
723	0.1998327661
724	0.1997172223
725	0.1996315942
726	0.1995407256
727	0.1994797919
728	0.1994017443
729	0.1993334236
730	0.1992450688
731	0.199163521
732	0.1991004216
733	0.1990267636
734	0.1989818031
735	0.1988406946
736	0.1987735535
737	0.198636332
738	0.1985446125
739	0.1984073329
740	0.198313757
741	0.1981869392
742	0.1981232403
743	0.1980417891
744	0.1979257232
745	0.1978796604
746	0.1977366569
747	0.1976699606
748	0.1976036317
749	0.1975214457
750	0.1974406714
751	0.1973743619
752	0.197289604
753	0.1972421101
754	0.1971340114
755	0.1970594253
756	0.1969938699
757	0.1968974899
758	0.1968053063
759	0.1966607364
760	0.196569771
761	0.1964987817
762	0.1964018023
763	0.1963531482
764	0.1962402924
765	0.1961402576
766	0.1960629641
767	0.1960145227
768	0.1959504757
769	0.1959264968
770	0.1958575186
771	0.1958119005
772	0.1957461904
773	0.1956380724
774	0.1955246751
775	0.1954533764
776	0.195261158
777	0.195166209
778	0.1950741414
779	0.1949959777
780	0.1949217976
781	0.1948068727
782	0.1947236038
783	0.1945847386
784	0.1945105585
785	0.1944054378
786	0.1943154587
787	0.1942080755
788	0.1941378017
789	0.194093924
790	0.1940033068
791	0.1938944152
792	0.193826636
793	0.1937512763
794	0.1936999343
795	0.1936194307
796	0.1935660002
797	0.1934587136
798	0.1934153195
799	0.1933402692
800	0.1932950379
801	0.1931879641
802	0.1931438351
803	0.1930934019
804	0.1929635481
805	0.1928747873
806	0.1928242187
807	0.1927399056
808	0.1926444926
809	0.1925841584
810	0.1924996326
811	0.1924258393
812	0.1923258238
813	0.1922631691
814	0.1921444152
815	0.1920697324
816	0.1919527576
817	0.1918228651
818	0.1917066445
819	0.1916153311
820	0.1915478999
821	0.1914663908
822	0.191210222
