iter	Passed	Remaining
0	1	1989
1	3	1890
2	5	1881
3	7	1840
4	9	1864
5	11	1861
6	12	1842
7	14	1832
8	16	1810
9	18	1800
10	19	1790
11	21	1778
12	23	1767
13	24	1733
14	26	1735
15	28	1726
16	29	1715
17	31	1705
18	32	1702
19	34	1696
20	36	1689
21	37	1684
22	39	1680
23	41	1673
24	42	1668
25	44	1664
26	46	1661
27	47	1656
28	49	1653
29	51	1651
30	52	1647
31	54	1646
32	55	1634
33	57	1632
34	58	1614
35	60	1616
36	62	1617
37	63	1615
38	65	1614
39	67	1613
40	68	1613
41	70	1613
42	72	1612
43	74	1612
44	76	1614
45	77	1617
46	79	1616
47	81	1615
48	82	1610
49	84	1608
50	86	1606
51	88	1604
52	89	1596
53	90	1594
54	92	1592
55	94	1590
56	95	1587
57	97	1581
58	98	1577
59	100	1575
60	102	1573
61	103	1572
62	105	1571
63	107	1566
64	108	1567
65	110	1566
66	112	1564
67	114	1562
68	115	1560
69	117	1558
70	118	1555
71	120	1554
72	122	1552
73	123	1551
74	125	1549
75	127	1547
76	128	1545
77	130	1543
78	132	1541
79	133	1539
80	135	1537
81	137	1535
82	138	1534
83	140	1529
84	141	1528
85	143	1526
86	145	1524
87	147	1523
88	148	1523
89	150	1522
90	152	1520
91	153	1518
92	155	1516
93	157	1515
94	158	1512
95	160	1510
96	162	1509
97	164	1510
98	165	1509
99	167	1509
100	169	1508
101	171	1507
102	172	1505
103	174	1504
104	176	1502
105	178	1501
106	179	1500
107	181	1498
108	183	1496
109	184	1495
110	186	1494
111	188	1492
112	189	1490
113	191	1489
114	193	1488
115	194	1485
116	196	1484
117	198	1482
118	200	1480
119	201	1479
120	203	1477
121	205	1476
122	206	1474
123	208	1473
124	210	1471
125	212	1470
126	213	1469
127	215	1468
128	217	1469
129	219	1469
130	221	1467
131	223	1467
132	225	1467
133	226	1466
134	228	1463
135	230	1462
136	232	1461
137	233	1459
138	235	1458
139	237	1457
140	239	1456
141	240	1456
142	242	1455
143	244	1454
144	246	1453
145	248	1451
146	250	1450
147	251	1449
148	253	1448
149	255	1446
150	257	1445
151	258	1443
152	260	1442
153	262	1440
154	264	1440
155	265	1439
156	267	1437
157	269	1435
158	271	1433
159	272	1432
160	274	1430
161	276	1428
162	277	1427
163	279	1424
164	281	1423
165	283	1422
166	285	1421
167	286	1420
168	288	1418
169	290	1416
170	292	1415
171	293	1414
172	295	1412
173	297	1411
174	299	1409
175	300	1407
176	302	1406
177	304	1404
178	306	1403
179	307	1402
180	309	1401
181	311	1399
182	312	1397
183	314	1395
184	316	1393
185	318	1393
186	320	1391
187	322	1390
188	323	1390
189	325	1388
190	327	1386
191	329	1385
192	330	1383
193	332	1382
194	334	1380
195	336	1378
196	337	1377
197	339	1375
198	341	1373
199	342	1371
200	344	1369
201	346	1368
202	347	1365
203	349	1361
204	350	1360
205	352	1358
206	354	1357
207	355	1355
208	357	1353
209	359	1351
210	361	1349
211	362	1347
212	364	1345
213	365	1343
214	367	1342
215	369	1340
216	371	1339
